coucode,casecode,indcode,ecorisk,dCi
4,22,16,0.00385284909823402,-0
4,22,17,0.00228136269954071,-0
4,22,18,0.015424225239573,-0
4,22,19,0.00424720404301693,-0
4,22,20,0.00488426298065137,-0
4,22,21,0.00023489221690598,-0
4,22,22,0.0548775117154134,0.144738595938183
4,22,23,0.0128990467134248,-0
4,22,24,0.000516262059273243,-0
4,22,25,0.0147639795572744,-0
4,22,26,0.00339947733192847,-0
4,22,27,0.00751951628394276,-0
4,22,28,0.0022961203560764,-0
4,22,29,0.00340872764886702,-0
4,22,30,0.000167329751913581,-0
4,22,31,0.00163386462766602,-0
4,22,32,0.00155250759004844,-0
4,22,33,0.0026369910114814,-0
4,22,34,0.00661501208793236,NaN
4,24,1,0.000306357188760153,-0
4,24,2,0.00316446480317334,-0
4,24,3,0.000301974057381749,-0
4,24,4,0.000820905534549943,-0
4,24,5,0.000559896148800254,-0
4,24,6,0.00137017237029191,-0
4,24,7,0.00565129168697776,-0
4,24,8,0.000442720061644697,-0
4,24,9,0.00083072859180422,-0
4,24,10,0.000934272577866269,-0
4,24,11,0.000446655942790253,-0
4,24,12,0.000193541548860865,-0
4,24,13,0.00027048498080251,-0
4,24,14,0.000321991486123441,-0
4,24,15,0.000984263080918479,-0
4,24,16,0.00148743177250554,-0
4,24,17,0.0009916550093656,-0
4,24,18,0.00114595519485194,-0
4,24,19,0.00158909006115548,-0
4,24,20,0.0017690040216396,-0
4,24,21,0.000214380290282201,-0
4,24,22,0.00181105347662347,-0
4,24,23,0.0040696695264838,-0
4,24,24,0.192989895203229,0.209947644077626
4,24,25,0.00360017675551183,-0
4,24,26,0.00202101030807078,-0
4,24,27,0.00265839949137125,-0
4,24,28,0.0010172409459609,-0
4,24,29,0.00247894239148705,-0
4,24,30,0.000178058796531544,-0
4,24,31,0.00195507271453521,-0
4,24,32,0.0118201676053927,-0
4,24,33,0.00230071747877725,-0
4,24,34,0.00286201818558074,NaN
4,33,1,0.00191749601105995,-0
4,33,2,0.00355511874228032,-0
4,33,3,0.00192646106726302,-0
4,33,4,0.00579696881338498,-0
4,33,5,0.00310536629008173,-0
4,33,6,0.0149299649150728,-0
4,33,7,0.00449065182570074,-0
4,33,8,0.0122444046863015,-0
4,33,9,0.00406530413809036,-0
4,33,10,0.00422147777753512,-0
4,33,11,0.00269289993310862,-0
4,33,12,0.000996389254315666,-0
